,Barangay,Flood Probability
0,Alima,1
1,Aniban I,4
2,Banalo,1
3,Bayanan,1
4,Daang Bukid,3
5,Digman,2
6,Dulong Bayan,1
7,Habay I,2
8,Kaingin (Pob.),1
9,Ligas I,4
10,Mabolo I,1
11,Maliksi I,2
12,Mambog I,1
13,Molino I,1
14,Niog I,1
15,P.F. Espiritu I (Panapaan),1
16,Real I,1
17,Salinas I,1
18,San Nicolas I,1
19,Sineguelasan,1
20,Tabing Dagat,1
21,Talaba I,1
22,Zapote I,3
23,Queens Row Central,1
24,Queens Row East,1
25,Queens Row West,1
26,Aniban II,1
27,Aniban III,1
28,Aniban IV,3
29,Aniban V,4
30,Campo Santo,1
31,Habay II,2
32,Ligas II,4
33,Ligas III,4
34,Mabolo II,1
35,Mabolo III,1
36,Maliksi II,2
37,Maliksi III,2
38,Mambog II,1
39,Mambog III,1
40,Mambog IV,1
41,Mambog V,3
42,Molino II,1
43,Molino III,1
44,Molino IV,1
45,Molino V,1
46,Molino VI,1
47,Molino VII,1
48,Niog II,2
49,Niog III,1
50,P.F. Espiritu II,2
51,P.F. Espiritu III,1
52,P.F. Espiritu IV,2
53,P.F. Espiritu V,1
54,P.F. Espiritu VI,1
55,P.F. Espiritu VII,1
56,P.F. Espiritu VIII,1
57,Real II,1
58,Salinas II,1
59,Salinas III,1
60,Salinas IV,1
61,San Nicolas II,1
62,San Nicolas III,1
63,Talaba II,3
64,Talaba III,3
65,Talaba IV,3
66,Talaba V,3
67,Talaba VI,3
68,Talaba VII,3
69,Zapote II,4
70,Zapote III,3
71,Zapote IV,3
72,Zapote V,3
